Components,Classifier,Accuracy,Precision,Recall
20.000000,GaussianNB,0.336,0.579,0.336
20.000000,BernoulliNB,0.534,0.564,0.534
20.000000,RandomForestClassifier,0.584,0.569,0.584
20.000000,LogisticRegression,0.566,0.540,0.566
20.000000,SGDClassifier,0.122,0.252,0.122
20.000000,RidgeClassifier,0.570,0.546,0.570
20.000000,DecisionTreeClassifier,0.518,0.576,0.518
20.000000,KNeighborsClassifier,0.542,0.567,0.542
20.000000,LinearSVC,0.308,0.372,0.308
100.000000,GaussianNB,0.444,0.558,0.444
100.000000,BernoulliNB,0.488,0.513,0.488
100.000000,RandomForestClassifier,0.508,0.528,0.508
100.000000,LogisticRegression,0.566,0.542,0.566
100.000000,SGDClassifier,0.212,0.296,0.212
100.000000,RidgeClassifier,0.512,0.527,0.512
100.000000,DecisionTreeClassifier,0.514,0.544,0.514
100.000000,KNeighborsClassifier,0.548,0.572,0.548
100.000000,LinearSVC,0.390,0.356,0.390
200.000000,GaussianNB,0.480,0.548,0.480
200.000000,BernoulliNB,0.518,0.540,0.518
200.000000,RandomForestClassifier,0.508,0.514,0.508
200.000000,LogisticRegression,0.568,0.550,0.568
200.000000,SGDClassifier,0.210,0.271,0.210
200.000000,RidgeClassifier,0.554,0.565,0.554
200.000000,DecisionTreeClassifier,0.528,0.568,0.528
200.000000,KNeighborsClassifier,0.548,0.570,0.548
200.000000,LinearSVC,0.250,0.342,0.250
500.000000,GaussianNB,0.416,0.575,0.416
500.000000,BernoulliNB,0.494,0.500,0.494
500.000000,RandomForestClassifier,0.504,0.504,0.504
500.000000,LogisticRegression,0.574,0.550,0.574
500.000000,SGDClassifier,0.168,0.299,0.168
500.000000,RidgeClassifier,0.558,0.559,0.558
500.000000,DecisionTreeClassifier,0.492,0.519,0.492
500.000000,KNeighborsClassifier,0.548,0.570,0.548
500.000000,LinearSVC,0.300,0.257,0.300
1000.000000,GaussianNB,0.416,0.575,0.416
1000.000000,BernoulliNB,0.494,0.500,0.494
1000.000000,RandomForestClassifier,0.532,0.533,0.532
1000.000000,LogisticRegression,0.574,0.550,0.574
1000.000000,SGDClassifier,0.278,0.335,0.278
1000.000000,RidgeClassifier,0.558,0.559,0.558
1000.000000,DecisionTreeClassifier,0.498,0.525,0.498
1000.000000,KNeighborsClassifier,0.548,0.570,0.548
1000.000000,LinearSVC,0.280,0.222,0.280
3536.000000,GaussianNB,0.416,0.575,0.416
3536.000000,BernoulliNB,0.494,0.500,0.494
3536.000000,RandomForestClassifier,0.508,0.532,0.508
3536.000000,LogisticRegression,0.574,0.550,0.574
3536.000000,SGDClassifier,0.078,0.211,0.078
3536.000000,RidgeClassifier,0.558,0.559,0.558
3536.000000,DecisionTreeClassifier,0.490,0.519,0.490
3536.000000,KNeighborsClassifier,0.548,0.570,0.548
3536.000000,LinearSVC,0.430,0.378,0.430
