Components,Classifier,Accuracy,Precision,Recall
20.000000,GaussianNB,0.154,0.496,0.154
20.000000,BernoulliNB,0.567,0.550,0.567
20.000000,RandomForestClassifier,0.583,0.575,0.583
20.000000,LogisticRegression,0.554,0.528,0.554
20.000000,SGDClassifier,0.166,0.325,0.166
20.000000,RidgeClassifier,0.581,0.529,0.581
20.000000,DecisionTreeClassifier,0.516,0.532,0.516
20.000000,KNeighborsClassifier,0.567,0.561,0.567
20.000000,LinearSVC,0.284,0.338,0.284
100.000000,GaussianNB,0.262,0.518,0.262
100.000000,BernoulliNB,0.541,0.547,0.541
100.000000,RandomForestClassifier,0.597,0.576,0.597
100.000000,LogisticRegression,0.550,0.526,0.550
100.000000,SGDClassifier,0.184,0.229,0.184
100.000000,RidgeClassifier,0.590,0.542,0.590
100.000000,DecisionTreeClassifier,0.527,0.553,0.527
100.000000,KNeighborsClassifier,0.554,0.544,0.554
100.000000,LinearSVC,0.324,0.369,0.324
200.000000,GaussianNB,0.293,0.510,0.293
200.000000,BernoulliNB,0.550,0.551,0.550
200.000000,RandomForestClassifier,0.575,0.548,0.575
200.000000,LogisticRegression,0.553,0.529,0.553
200.000000,SGDClassifier,0.220,0.209,0.220
200.000000,RidgeClassifier,0.576,0.535,0.576
200.000000,DecisionTreeClassifier,0.511,0.527,0.511
200.000000,KNeighborsClassifier,0.555,0.545,0.555
200.000000,LinearSVC,0.456,0.536,0.456
500.000000,GaussianNB,0.361,0.504,0.361
500.000000,BernoulliNB,0.540,0.528,0.540
500.000000,RandomForestClassifier,0.562,0.535,0.562
500.000000,LogisticRegression,0.552,0.528,0.552
500.000000,SGDClassifier,0.171,0.196,0.171
500.000000,RidgeClassifier,0.571,0.530,0.571
500.000000,DecisionTreeClassifier,0.503,0.524,0.503
500.000000,KNeighborsClassifier,0.558,0.547,0.558
500.000000,LinearSVC,0.408,0.424,0.408
1000.000000,GaussianNB,0.397,0.511,0.397
1000.000000,BernoulliNB,0.548,0.528,0.548
1000.000000,RandomForestClassifier,0.558,0.534,0.558
1000.000000,LogisticRegression,0.553,0.528,0.553
1000.000000,SGDClassifier,0.127,0.213,0.127
1000.000000,RidgeClassifier,0.559,0.523,0.559
1000.000000,DecisionTreeClassifier,0.531,0.548,0.531
1000.000000,KNeighborsClassifier,0.556,0.542,0.556
1000.000000,LinearSVC,0.348,0.379,0.348
1500.000000,GaussianNB,0.385,0.505,0.385
1500.000000,BernoulliNB,0.526,0.500,0.526
1500.000000,RandomForestClassifier,0.555,0.524,0.555
1500.000000,LogisticRegression,0.547,0.525,0.547
1500.000000,SGDClassifier,0.159,0.245,0.159
1500.000000,RidgeClassifier,0.553,0.517,0.553
1500.000000,DecisionTreeClassifier,0.529,0.542,0.529
1500.000000,KNeighborsClassifier,0.559,0.545,0.559
1500.000000,LinearSVC,0.322,0.391,0.322
2000.000000,GaussianNB,0.399,0.508,0.399
2000.000000,BernoulliNB,0.538,0.507,0.538
2000.000000,RandomForestClassifier,0.539,0.525,0.539
2000.000000,LogisticRegression,0.553,0.529,0.553
2000.000000,SGDClassifier,0.138,0.202,0.138
2000.000000,RidgeClassifier,0.564,0.523,0.564
2000.000000,DecisionTreeClassifier,0.526,0.537,0.526
2000.000000,KNeighborsClassifier,0.561,0.548,0.561
2000.000000,LinearSVC,0.305,0.480,0.305
