Grid Scores:

0.679 (+/-0.071) for {'max_features': None, 'n_estimators': 50, 'oob_score': True, 'random_state': 0, 'criterion': 'gini'}
0.671 (+/-0.117) for {'max_features': None, 'n_estimators': 50, 'oob_score': True, 'random_state': 10, 'criterion': 'gini'}
0.668 (+/-0.100) for {'max_features': None, 'n_estimators': 50, 'oob_score': True, 'random_state': 20, 'criterion': 'gini'}
0.663 (+/-0.079) for {'max_features': None, 'n_estimators': 50, 'oob_score': True, 'random_state': 30, 'criterion': 'gini'}
0.679 (+/-0.071) for {'max_features': None, 'n_estimators': 50, 'oob_score': False, 'random_state': 0, 'criterion': 'gini'}
0.671 (+/-0.117) for {'max_features': None, 'n_estimators': 50, 'oob_score': False, 'random_state': 10, 'criterion': 'gini'}
0.668 (+/-0.100) for {'max_features': None, 'n_estimators': 50, 'oob_score': False, 'random_state': 20, 'criterion': 'gini'}
0.663 (+/-0.079) for {'max_features': None, 'n_estimators': 50, 'oob_score': False, 'random_state': 30, 'criterion': 'gini'}
0.682 (+/-0.094) for {'max_features': None, 'n_estimators': 100, 'oob_score': True, 'random_state': 0, 'criterion': 'gini'}
0.664 (+/-0.120) for {'max_features': None, 'n_estimators': 100, 'oob_score': True, 'random_state': 10, 'criterion': 'gini'}
0.673 (+/-0.083) for {'max_features': None, 'n_estimators': 100, 'oob_score': True, 'random_state': 20, 'criterion': 'gini'}
0.668 (+/-0.086) for {'max_features': None, 'n_estimators': 100, 'oob_score': True, 'random_state': 30, 'criterion': 'gini'}
0.682 (+/-0.094) for {'max_features': None, 'n_estimators': 100, 'oob_score': False, 'random_state': 0, 'criterion': 'gini'}
0.664 (+/-0.120) for {'max_features': None, 'n_estimators': 100, 'oob_score': False, 'random_state': 10, 'criterion': 'gini'}
0.673 (+/-0.083) for {'max_features': None, 'n_estimators': 100, 'oob_score': False, 'random_state': 20, 'criterion': 'gini'}
0.668 (+/-0.086) for {'max_features': None, 'n_estimators': 100, 'oob_score': False, 'random_state': 30, 'criterion': 'gini'}
0.663 (+/-0.096) for {'max_features': None, 'n_estimators': 200, 'oob_score': True, 'random_state': 0, 'criterion': 'gini'}
0.674 (+/-0.094) for {'max_features': None, 'n_estimators': 200, 'oob_score': True, 'random_state': 10, 'criterion': 'gini'}
0.680 (+/-0.081) for {'max_features': None, 'n_estimators': 200, 'oob_score': True, 'random_state': 20, 'criterion': 'gini'}
0.672 (+/-0.105) for {'max_features': None, 'n_estimators': 200, 'oob_score': True, 'random_state': 30, 'criterion': 'gini'}
0.663 (+/-0.096) for {'max_features': None, 'n_estimators': 200, 'oob_score': False, 'random_state': 0, 'criterion': 'gini'}
0.674 (+/-0.094) for {'max_features': None, 'n_estimators': 200, 'oob_score': False, 'random_state': 10, 'criterion': 'gini'}
0.680 (+/-0.081) for {'max_features': None, 'n_estimators': 200, 'oob_score': False, 'random_state': 20, 'criterion': 'gini'}
0.672 (+/-0.105) for {'max_features': None, 'n_estimators': 200, 'oob_score': False, 'random_state': 30, 'criterion': 'gini'}
