Grid Scores:

0.644 (+/-0.066) for {'normalize': True, 'fit_intercept': True, 'solver': 'auto', 'max_iter': 500, 'tol': 0.0001, 'copy_X': True, 'alpha': 0.0001}
0.644 (+/-0.066) for {'normalize': True, 'fit_intercept': True, 'solver': 'auto', 'max_iter': 500, 'tol': 0.0002, 'copy_X': True, 'alpha': 0.0001}
0.644 (+/-0.066) for {'normalize': True, 'fit_intercept': True, 'solver': 'auto', 'max_iter': 500, 'tol': 0.0003, 'copy_X': True, 'alpha': 0.0001}
0.644 (+/-0.066) for {'normalize': True, 'fit_intercept': True, 'solver': 'auto', 'max_iter': 500, 'tol': 0.0004, 'copy_X': True, 'alpha': 0.0001}
0.644 (+/-0.066) for {'normalize': True, 'fit_intercept': True, 'solver': 'svd', 'max_iter': 500, 'tol': 0.0001, 'copy_X': True, 'alpha': 0.0001}
0.644 (+/-0.066) for {'normalize': True, 'fit_intercept': True, 'solver': 'svd', 'max_iter': 500, 'tol': 0.0002, 'copy_X': True, 'alpha': 0.0001}
0.644 (+/-0.066) for {'normalize': True, 'fit_intercept': True, 'solver': 'svd', 'max_iter': 500, 'tol': 0.0003, 'copy_X': True, 'alpha': 0.0001}
0.644 (+/-0.066) for {'normalize': True, 'fit_intercept': True, 'solver': 'svd', 'max_iter': 500, 'tol': 0.0004, 'copy_X': True, 'alpha': 0.0001}
0.644 (+/-0.066) for {'normalize': True, 'fit_intercept': True, 'solver': 'cholesky', 'max_iter': 500, 'tol': 0.0001, 'copy_X': True, 'alpha': 0.0001}
0.644 (+/-0.066) for {'normalize': True, 'fit_intercept': True, 'solver': 'cholesky', 'max_iter': 500, 'tol': 0.0002, 'copy_X': True, 'alpha': 0.0001}
0.644 (+/-0.066) for {'normalize': True, 'fit_intercept': True, 'solver': 'cholesky', 'max_iter': 500, 'tol': 0.0003, 'copy_X': True, 'alpha': 0.0001}
