,Score,Price,PublicationDate,AppSize,LastUpdateDate,Instalations,IsTopDeveloper,HaveInAppPurchases,IsFree,0,1,2,3,4,0.1,1.1,2.1,3.1,4.1,0.2,1.2,2.2,3.2,4.2,0.3,1.3,2.3,3.3,4.3,0.4,1.4,2.4,3.4,4.4
Score,1.0,-0.0375978052181,-0.0676376626196,-0.00196032561914,-0.0676376626196,0.0542182776348,0.0533177158954,0.0396123133038,0.148856360543,0.00916566125355,0.00552416126957,0.0210668744331,0.022190288626,-0.0302439203345,-0.0136221518255,-0.000402504653587,0.0116518185685,-0.031731531412,0.0209503295536,0.00213100810329,-0.0194108851454,0.00493347159179,-0.0336287825484,0.0153313879417,-0.00831305519218,0.0236474217611,-0.0150406526206,0.0249986074868,0.0235919084112,0.00581657657266,-0.0151507126151,-0.0112468949798,-0.0167623831949,0.0110481716788
Price,-0.0375978052181,1.0,-0.00376238616376,0.0307855616402,-0.00376238616376,-0.0116903348692,0.0565714263568,0.0198743239134,-0.165025786579,0.0023491430144,0.00246587133337,0.00124306348694,0.0111303137233,0.0096576051006,-0.00658563988463,0.000575250054497,-0.00154503080394,0.00268359001663,-0.00282007629623,-0.00160528793814,0.00309077999807,-0.00190077881837,0.00160197748577,-0.000643225785906,-0.0136843918634,-0.0041963127172,-0.00351220154277,0.00613352076992,0.00171813020915,-0.00172031981244,-0.00696317144152,0.00253439528757,-0.00780039681749,0.00802696227011
PublicationDate,-0.0676376626196,-0.00376238616376,1.0,-0.0553869434494,1.0,-0.0742370994242,-0.0887434548652,-0.145427862278,-0.143635840884,-0.0251417623364,-0.00292978301304,-0.0143658322296,0.0187325519822,0.013186007517,0.00754702952364,0.00810083986521,0.011205754632,0.00173968444705,0.000304464937681,-0.0142273935199,-0.0230874651331,0.0204275733999,-0.0214412508559,0.00495365782851,0.00133449392587,0.0139818260844,-0.0144064437128,-0.0124476811346,0.00467445543221,0.00598306732313,0.00423854872154,0.0211693263077,-0.00487440515844,0.0133228626228
AppSize,-0.00196032561914,0.0307855616402,-0.0553869434494,1.0,-0.0553869434494,-0.00533303918984,0.085865477354,0.154564620594,-0.087100204013,0.0122879605543,-0.0164562759592,-0.0211014203662,-0.0105268266227,0.00435201438093,-0.000687411518434,-0.00198786660071,0.0021983381504,-0.000322345900163,-0.00452669650808,-0.00189565040118,0.00758867761289,-0.00523979876202,0.00514485497486,-0.00254237162339,-0.0128075423408,-0.00583182408563,0.00150348161867,0.00162379290435,-0.000688199411872,-0.00819526235413,-0.010282372147,-0.00244319031753,-0.00589914163099,0.00119609078756
LastUpdateDate,-0.0676376626196,-0.00376238616376,1.0,-0.0553869434494,1.0,-0.0742370994242,-0.0887434548652,-0.145427862278,-0.143635840884,-0.0251417623364,-0.00292978301304,-0.0143658322296,0.0187325519822,0.013186007517,0.00754702952364,0.00810083986521,0.011205754632,0.00173968444705,0.000304464937681,-0.0142273935199,-0.0230874651331,0.0204275733999,-0.0214412508559,0.00495365782851,0.00133449392587,0.0139818260844,-0.0144064437128,-0.0124476811346,0.00467445543221,0.00598306732313,0.00423854872154,0.0211693263077,-0.00487440515844,0.0133228626228
Instalations,0.0542182776348,-0.0116903348692,-0.0742370994242,-0.00533303918984,-0.0742370994242,1.0,0.242532349343,0.103402876678,0.0722264550297,0.00558167610164,0.00804109011351,0.000120315592886,-0.00214385906674,-0.00158382356946,0.00021349903858,0.0015351620302,-0.00560222091563,-0.000311194699235,-0.00131975538007,0.00143282556686,-0.012685594936,-0.00400145765943,0.00145490758209,3.82701338165e-05,0.0020927796928,0.00413443566322,0.000385003271222,0.00418824949392,0.00040549498432,-0.000548204143506,0.00159150229818,0.00719043051175,0.000233462056165,-0.00675579350187
IsTopDeveloper,0.0533177158954,0.0565714263568,-0.0887434548652,0.085865477354,-0.0887434548652,0.242532349343,1.0,0.234631964247,-0.0169869533962,0.000905472575411,0.00129177337494,-0.00247503243503,0.00631256359188,-0.0055273732897,-0.0031934441646,0.00226583628535,-0.00579612934802,-0.00539123539177,-0.00448009216214,0.00502181073973,-0.00555299893624,-0.00361113946463,0.000253990124095,0.000971988031878,-0.00159722577166,0.00162831122262,0.0118068737544,-0.00300351776755,0.000843083628091,0.00199410027273,0.00284718924531,0.00621229054417,-0.00242194809958,0.00471411964878
HaveInAppPurchases,0.0396123133038,0.0198743239134,-0.145427862278,0.154564620594,-0.145427862278,0.103402876678,0.234631964247,1.0,0.0699862275157,-0.00100117243319,0.00374074423965,-0.0166793128904,0.00648782374473,-0.0166809616566,0.00976389529309,-0.0201376584226,0.0250709074307,-0.0243012256232,0.00113236166197,-0.00458228225271,0.00813709762304,-0.0109814520089,0.0117628639052,-0.00200502079766,0.00877779755729,-0.000608862849243,0.00301027250151,0.00298323174721,-0.00275685844289,-0.0134413170898,-0.00746783809571,-0.0100152877829,-0.025288144948,-0.0154604621912
IsFree,0.148856360543,-0.165025786579,-0.143635840884,-0.087100204013,-0.143635840884,0.0722264550297,-0.0169869533962,0.0699862275157,1.0,0.00808938239458,-0.0255042699339,-0.0105374366023,-0.0078020172477,-0.030636017196,0.0132066486964,-0.00431358053649,0.0112636514234,-0.0168197645675,0.0106312248478,-0.0192803152797,-0.0169100878781,0.0106333727566,0.0314180333223,0.00211769256325,0.0260831518513,-0.00710058223077,0.0188852049547,-0.0114745168272,-0.0491996737079,-0.00437526654532,0.033707033085,-0.000971286082248,0.0173678802444,-0.00770471389073
0,0.00916566125355,0.0023491430144,-0.0251417623364,0.0122879605543,-0.0251417623364,0.00558167610164,0.000905472575411,-0.00100117243319,0.00808938239458,1.0,-0.0297655887495,0.0408268111083,-0.0111666508344,0.00267021633498,-0.0139875008349,-0.0263032774128,0.0360761711471,-0.0424295761517,0.0485596642403,-0.21195287043,-0.0682458657584,0.109054202359,-0.092153147951,0.0620397478665,0.0113211940242,0.119768889095,-0.0415864869484,-0.0251464222211,-0.024170451281,-0.290474484213,0.099294790182,-0.145632567464,-0.00505610514764,-0.00354558798488
